,DDX53,
,RAET1L,
,PLXNA3,
,TSHR,
,CELF5,
,ACOT6,
,GRIK1,
,MAGEA11,
,HIST1H2AE,
,SMARCD3,
,ALDH1A2,
,P2RY2,
,PPAN,
,PLD5,
,FZD8,
,CABP7,
,MBD3L5,
,SYN2,
,RAVER2,
,IDH3G,
,FBXO41,
,ZG16,
,TBX22,
,C1QTNF9B,
,TLDC1,
,C1orf210,
,SDHAP3,
,THNSL2,
,CTAGE6,
,IRX3,
,HDGFRP2,
